"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16"
"20200123_M4_E_13_53_17_0018",-0.0277658748452458,-0.0644714535772284,-0.0042774257486535,0.00088130791825101,0.027720594699715,-0.0122094179541951,-0.018137371775868,-0.0251876117144068,-0.00976540596052364,-0.0084184760404932,-0.0140374473914711,0.00961742720973035,0.00211884072912614,-0.00791902724060802,-0.0075191478799939,0.011529201396182
"20200123_M4_E_13_53_17_0020",-0.0417206655385188,-0.0512880098336124,0.0193872752088422,0.00612604522204549,0.0174237316077726,0.0228076356424634,0.00905604885839094,0.00418601325710761,0.0168794591536112,0.00563526640290165,-0.0100130455874585,0.000434480964329455,0.00707428558061346,0.0168875358214594,-0.0108365617245403,-0.00207341864930733
"20200123_M4_F_14_04_26_0002",-0.0460503566933563,-0.118307577214937,0.0243688623737449,-0.00226256962006108,0.0171627176040485,-0.000618592873014544,-0.0212811136107104,-0.0134544886908761,0.00170615874223525,0.00229538707258638,-0.0017884631459142,-0.00258593115134722,-0.0129917222371621,-0.00842942991419219,-0.00337580942909307,0.00133009730139567
"20200123_M4_F_14_04_26_0004",-0.0183052146470348,-0.0734772067107424,0.00362216316531079,0.00928497575156553,0.0164468991822309,-0.00623138754034931,-0.00873680723103758,-0.03506285777125,0.00684263272421787,-0.00983073484363802,0.0028410818749233,0.0028340386483274,0.00810750132540839,0.00882236632981192,-0.00340190553750113,-0.00409834396762671
"20191112_MA_A_tibia_derecha0002",-0.0864630728740831,-0.030346615639156,-0.0145149939305766,0.000856177793468928,-0.0246826298359867,0.0143650779025894,0.0038650863263932,0.00284801260167255,-0.00880676787129211,-0.00110001765533813,-0.00262749364859179,0.00422637726230485,-0.00122687260796152,0.00237025820640045,-0.00645395477477136,0.00437419104086885
"20191112_MA_A_tibia_derecha0004",-0.0740601768193406,-0.0447522390543344,-0.0291067129299767,-0.00602663067863161,-0.0271184084267869,-0.00213813131312812,0.0084442807592574,-0.00240645326203592,-0.00872533335586928,0.00576103531217816,0.00482871227108725,0.00659501070724343,0.00185245080966998,0.00305532860647007,-0.00339595533640602,0.00593413870130901
"20191112_MA_A_tibia_derecha0006",-0.0913705798621065,0.00554187900597457,-0.0272488037689129,-0.010081545527785,-0.0197661981429853,-0.00915323496159354,-0.00969032466023475,0.00210474666077425,0.00766677318845932,-0.0058659228390336,-0.00504514218762365,0.0117740392574777,-0.00984585759833214,-0.00910981676088991,0.0108819131096132,0.00336409588298718
"20191112_MA_B_tibia_derecha0008",-0.0811047147726765,-0.0444677409714197,-0.0194989746311991,-0.00515631358760229,-0.0433429457683257,0.00706151152986218,0.00146331767508403,-0.00207215975263149,0.00356781208999167,0.00789966001372784,0.00266178432963039,0.0118245912882775,-0.000873756803643647,0.00588156805793474,-0.00265615075315618,-0.00194696052148345
"20191112_MA_C_tibia_derecha0002",-0.0725865913841452,-0.00395885726950449,-0.0134016982753665,0.0166891435612303,-0.0354975792990706,-0.00528763577268836,0.00393259312570399,-0.00265273402908357,0.013074557362848,0.0138987340988243,0.00319085377195715,0.00332407123676567,-0.000835836148241254,0.00415491290322957,-0.00201629140989977,-0.00504904966731904
"20191112_MA_D_tibia_derecha0004",-0.0823443096937525,-0.0414409877668265,-0.0213643380085535,-0.00807703187343699,-0.0295016765176914,-0.00862543475924109,-0.00799253809526427,0.00671162225822256,0.0105488936568627,0.00761237393932883,-0.0150375889206892,-0.000114282053500846,0.005799781864262,-0.00678889169583411,-0.00540881793185967,-0.0060304555188226
"20191112_MA_E_tibia_derecha0006",-0.0869178913019185,-0.0377433725518964,-0.0377832643677268,0.00123920478035446,-0.0229837174868244,-0.022973954917636,-0.0125782835296607,0.00989757031190341,-0.0091671280849178,-0.00215201619787906,-0.0134755249086547,-0.00216179159724074,0.00504293960153025,0.00692263108416874,-1.02576352008928e-05,-0.00370157234201723
"20191112_MA_F_tibia_derecha0008",-0.0664471352031955,-0.0426343610583929,-0.0121273038381817,-0.00584298380846988,-0.0328553370702088,-0.000995609036237284,-0.00588480758956793,-0.000612998159465273,-0.000521313628924701,0.0178016931739986,-0.0013930146160517,0.0102242319912098,0.00421141863080536,0.00352028410502545,-0.000371173882814844,-0.00348194706881892
"20191112_MA_G_tibia_derecha0010",-0.0731503549283569,0.00309599577289417,-0.0295479014009098,-0.0165681615843072,-0.038361245645617,0.0099755413500022,0.0480947704452414,-0.00106010568210893,-0.0199460774965786,-0.0013062436462174,0.00942366188613886,0.0105738536291595,-0.0132073804538451,-0.00165977042519471,0.0065387420287767,0.00490547901306614
"20191112_MA_H_tibia_derecha0002",-0.0826490131006421,-0.0430434185646073,-0.0144074886498487,-0.00165116487295568,-0.0269855504488658,-0.0181134622080949,0.00749893768144348,-0.0173205351538568,0.00790675280535243,0.0121327826484937,0.0146693612490186,0.000536340986665738,-0.00229483624638273,0.00544204870429323,0.00364146885649288,-0.0145150985644085
"20191113_MV_A001_tibia__09_35_30_0028",-0.0813158513870837,0.0189552291766997,-0.0312314182518251,-0.0011582549217934,-0.0153420596089867,-0.00198115814428264,-0.00228899886182961,-0.0063966061230343,0.00530949129479297,0.0131607825748812,0.00789732735701616,0.0101793513624345,0.00342242842533254,0.0109340177998329,0.00744795392726182,-0.00314763755321195
"20191113_MV_A003_tibia__09_35_30_0030",-0.0974129122331006,-0.0197249117228368,-0.0286059159965852,-0.00351043396117006,-0.0156220502261432,-0.023052614586925,0.00465840927919624,-0.0109766184652929,0.00825446504437605,-0.00069800396644518,0.00577762402619858,0.00257461191953282,0.000694463935299966,0.00841327772292425,-0.0082159142454764,0.0041764990100131
"20191113_MV_A004_tibia__09_35_30_0032",-0.0344216661331635,0.0302258705427223,-0.0275324036722549,-0.0153680855783249,0.00965343255072118,-0.003703367065798,0.0264334821656926,-0.0282359647408392,0.0235615421318848,-0.000542410525873604,0.0113071774229458,0.0212825008560421,0.00580647635642848,-0.00494468732945728,-0.0012682783442916,-0.00180890907834214
"20191113_MV_A004_tibia__09_35_30_0034",-0.0982219513549051,0.0162936541036371,-0.0321099576720459,0.0127614190337946,-0.0126957085076434,-0.00793887859254979,0.00909467627510701,-0.0208405695121992,-0.00484659663392733,0.00274961914520219,-0.000813028621017177,0.00636467303054896,0.014728808505668,0.000874698937829862,0.00205552431595551,-0.000600072728828956
"20191113_MV_A004_tibia__09_35_30_0036",-0.0868744322357238,-0.00585179919887365,-0.00759885631868017,0.00138584646640653,-0.011159799452355,-0.00760118971580345,0.00217195808161499,0.00348665231099282,-0.00572618203487139,-0.0017667931992137,0.0118174482162822,0.00823721276018903,0.000245962660992165,0.0111390249909603,0.00592941110224237,0.00946367741403741
