"","PC1","PC2","PC3","PC4"
"Eurysternus.17",-1.24744513407138,0.0143393430535491,-0.0886346780088878,-0.00758282053128423
"Eurysternus.18",-1.28890798765278,-0.0146390585111578,-0.106720598934724,-0.0340776736807622
"Eurysternus.19",-1.14641170982885,0.00677854573728837,-0.136507768227679,-0.00642891722144101
"Eurysternus.20",-1.27336810359559,-0.00806465687756808,-0.0972406029760667,-0.00421825166344508
"Eurysternus.21",-1.00784924844653,-0.0274613997074555,-0.0701819160701647,0.0304015116537932
"Eurysternus.22",-1.27513769180465,0.0424794749113255,-0.0988682379753449,0.00134078230356588
"Eurysternus.23",-1.2694912975358,0.0478967619737178,-0.109064162347497,0.0427732695557476
"Eurysternus.24",-1.05078311153886,0.0253184206608786,-0.136540779158652,-0.00417470809138648
"Eurysternus.25",-1.44003698739528,0.0109429640348538,-0.12437806016843,-0.0112010775750224
"Eurysternus.26",-1.72784179900905,-0.0881465864918837,-0.0754618018013859,-0.0675277419106909
"Eurysternus.27",-1.30492430304734,0.0168160776170783,-0.0975302264225689,-0.0092908599419774
"Eurysternus.28",-1.36361930322381,0.00597989253107772,-0.13533031400209,0.0211220571452988
"Eurysternus.29",-1.73379145519758,-0.103087937717211,-0.0743863398122037,-0.0679016132782057
"Ontherus",-0.976785879896496,0.214982676537172,-0.109352370955444,0.0430987826905198
"Ontherus.1",-0.8096284696274,0.213901184107736,-0.117962191095002,0.0357535484264273
"Ontherus.2",-0.819232218912531,0.241997888711947,-0.177925258475852,0.0268172964568468
"Ontherus.3",-1.24478323688367,0.206057757221736,-0.116276940307389,0.00463363699473035
"Ontherus.4",-1.16039420636038,0.21607464033264,-0.154644496739699,0.0846896422213197
"Ontherus.5",-0.58974329280661,0.259145068924405,-0.20146913547905,0.0348605751466166
"Ontherus.6",-0.656244676806498,0.245254944192269,-0.226784154002045,-0.0137143538502785
"Ontherus.7",-0.388564475469528,0.351277517922095,-0.181154447907623,0.0639136172202123
"Ontherus.8",-0.721397175134805,0.28104681158634,-0.182068923371996,0.0383646987028181
"Ontherus.9",-0.918979917105136,0.268403114661217,-0.17733566902202,0.00571244570893403
